zip,Population,PeopleSqMile
19103,19714,29353.79
19139,43866,24062.66
19107,12340,22723.74
19102,4396,22186.08
19146,35783,22007.33
19143,71169,21569.56
19147,32680,21391.35
19120,68831,21110.03
19133,27971,21079.29
19132,41709,20029.98
19141,34984,19908.17
19149,48483,19881.93
19138,34477,19815.87
19140,57125,18559.99
19130,22874,18095.08
19134,57922,17157.59
19142,29063,17126.8
19150,25274,16935.2
19104,50125,16806.34
19125,23646,16449.92
19122,19589,15449.92
19121,34935,14482.93
19135,30881,14155.18
19126,16484,14090.05
19151,31255,13140.12
19106,8359,12566.59
19144,46794,12076.32
19124,63131,11899.99
19148,48573,11471.12
19127,5465,10756.87
19111,58874,10679.91
19152,31379,10538.35
19145,45647,9176.02
19131,47044,9042.62
19119,28873,8220.53
19136,40080,8212.39
19123,9818,7711.04
19115,31853,6931.01
19116,32560,6225.51
19129,10748,5795.2
19154,35606,5634.43
19114,31083,5455.56
19128,36420,5163.86
19137,8069,3382.63
19118,9608,2906.1
19153,12324,1613.03
19113,136,55.51
19112,29,16.79